title,date,secton,url
Physicists build an atom laser that can stay on forever,"
                    52 minutes ago
                ","
                    Lasers use coherent waves of light: All the light inside a laser vibrates completely in sync. Meanwhile, quantum mechanics tells us that particles like atoms should also be thought of as waves. As a result, we can build ""atom ...
                ",https://phys.org/news/2022-06-physicists-atom-laser.html
Physicists demonstrate polariton Bose-Einstein condensation using a planar waveguide,"
                    1 minute ago
                ","
                    A team of physicists from CNR-Nanotec in Lecce, Università di Pavia, Princeton University and Université de Lyon has demonstrated Bose-Einstein condensation using a planar waveguide where semiconductor quantum wells were ...
                ",https://phys.org/news/2022-06-physicists-polariton-bose-einstein-condensation-planar.html
Understanding room-temperature superconductivity,"
                    45 minutes ago
                ","
                    Room-temperature superconductors could transform everything from electrical grids to particleaccelerators to computers, but researchers are still trying to understand how these materials function on the atomic level.
                ",https://phys.org/news/2022-06-room-temperature-superconductivity.html
Can we time travel? A theoretical physicist provides some answers,"
                    41 minutes ago
                ","
                    Time travel makes regular appearances in popular culture, with innumerable time travel storylines in movies, television and literature. But it is a surprisingly old idea: one can argue that the Greek tragedy Oedipus Rex, ...
                ",https://phys.org/news/2022-06-theoretical-physicist.html
A model that can predict the exact quasi-particle properties of heavy Fermi polarons,"
                    1 hour ago
                ","
                    Physicists studying quantum many-body physics very rarely reach exact solutions or conclusions, particularly in more than one dimension. This is also true for the Fermi polaron problem, describing instances in which the many-body ...
                ",https://phys.org/news/2022-06-exact-quasi-particle-properties-heavy-fermi.html
Alignment of quantized levels in valleytronic materials,"
                    3 hours ago
                ","
                    National University of Singapore researchers have predicted that Landau levels belonging to different valleys in a two-dimensional (2D) valleytronic material, monolayer tungsten diselenide (WSe2), can be aligned at a critical ...
                ",https://phys.org/news/2022-06-alignment-quantized-valleytronic-materials.html
"New, highly tunable composite materials—with a twist","
                    6 hours ago
                ","
                    Watch for the patterns created as the circles move across each other. Those patterns, created by two sets of lines offset from each other, are called moiré (pronounced mwar-AY) effects. As optical illusions, moiré patterns ...
                ",https://phys.org/news/2022-06-highly-tunable-composite-materialswith.html
Collapsing a leading theory for the quantum origin of consciousness,"
                    23 hours ago
                ","
                    The origin of consciousness is one of the greatest mysteries of science. One proposed solution, first suggested by Nobel Laureate and Oxford mathematician Roger Penrose and anesthesiologist Stuart Hammeroff, at the University ...
                ",https://phys.org/news/2022-06-collapsing-theory-quantum-consciousness.html
Insight into the fast emergence of magnetization,"
                    Jun 13, 2022
                ","
                    The speed of magnetizing a material has been discovered by an international team of scientists.
                ",https://phys.org/news/2022-06-insight-fast-emergence-magnetization.html
"Information energy accounts for dark energy, resolves Hubble tension, avoids the 'big chill,' and is falsifiable","
                    Jun 13, 2022
                ","
                    Stellar heated gas and dust has an entropy, or information content, with an equivalent energy of 1070 joules, directly comparable to the mc2 equivalent energy of the universe baryon mass. In a study published in Entropy, ...
                ",https://phys.org/news/2022-06-energy-accounts-dark-hubble-tension.html
Helium pre-exposure inhibits hydrogen isotope permeation in wall materials,"
                    Jun 13, 2022
                ","
                    A research team from the Hefei Institutes of Physical Science (HFIPS) of the Chinese Academy of Sciences (CAS) has recently revealed that helium exposure could inhibit the penetration of hydrogen isotopes in wall materials. ...
                ",https://phys.org/news/2022-06-helium-pre-exposure-inhibits-hydrogen-isotope.html
Theory suggests quantum computers should be exponentially faster on some learning tasks than classical machines,"
                    Jun 10, 2022
                ","
                    A team of researchers affiliated with multiple institutions in the U.S., including Google Quantum AI, and a colleague in Australia, has developed a theory suggesting that quantum computers should be exponentially faster on ...
                ",https://phys.org/news/2022-06-theory-quantum-exponentially-faster-tasks.html
Magnetizing laser-driven inertial fusion implosions,"
                    Jun 10, 2022
                ","
                    Nuclear fusion is a widely studied process through which atomic nuclei of a low atomic number fuse together to form a heavier nucleus, while releasing a large amount of energy. Nuclear fusion reactions can be produced using ...
                ",https://phys.org/news/2022-06-magnetizing-laser-driven-inertial-fusion-implosions.html
Glimpses of quantum computing phase changes show researchers the tipping point,"
                    Jun 10, 2022
                ","
                    Researchers at Duke University and the University of Maryland have used the frequency of measurements on a quantum computer to get a glimpse into the quantum phenomena of phase changes—something analogous to water turning ...
                ",https://phys.org/news/2022-06-glimpses-quantum-phase.html
Researchers observe continuous time crystal,"
                    Jun 10, 2022
                ","
                    Researchers from the Institute of Laser Physics at Universität Hamburg have succeeded for the first time in realizing a time crystal that spontaneously breaks continuous time translation symmetry. They report their observation ...
                ",https://phys.org/news/2022-06-crystal.html
"Scientists observe large-scale, ordered and tunable Majorana-zero-mode lattice","
                    Jun 10, 2022
                ","
                    In a study published in Nature on June 8, a joint research team led by Prof. Gao Hongjun from the Institute of Physics of the Chinese Academy of Sciences (CAS) has reported observation of a large-scale, ordered and tunable ...
                ",https://phys.org/news/2022-06-scientists-large-scale-tunable-majorana-zero-mode-lattice.html
Determining which wavelengths of UV light work best for COVID-19 virus disinfection,"
                    Jun 10, 2022
                ","
                    To disinfect a surface, you can illuminate it with a blast of ultraviolet (UV) light, which is bluer than the human eye can see. But to specifically inactivate SARS-CoV-2, the virus that causes COVID-19, which wavelengths ...
                ",https://phys.org/news/2022-06-wavelengths-uv-covid-virus-disinfection.html
The formation of gap solitons in a 1D dissipative topological lattice,"
                    Jun 09, 2022
                ","
                    Topological photonics is a rapidly evolving area of research that focuses on the design of photonic lattices where the behavior of light is inspired from the physics of topological insulators. While most studies in this area ...
                ",https://phys.org/news/2022-06-formation-gap-solitons-1d-dissipative.html
"Researchers demonstrate 40-channel optical communication link, capable of transmitting 400 GB of data per second","
                    Jun 09, 2022
                ","
                    Researchers have demonstrated a silicon-based optical communication link that combines two multiplexing technologies to create 40 optical data channels that can simultaneously move data. The new chip-scale optical interconnect ...
                ",https://phys.org/news/2022-06-channel-optical-link-capable-transmitting.html
New feedback system can improve efficiency of fusion reactions,"
                    Jun 09, 2022
                ","
                    Scientists at the U.S. Department of Energy's (DOE) Princeton Plasma Physics Laboratory (PPPL) have refined the use of magnetic fields to improve the performance of doughnut-shaped fusion facilities known as tokamaks. The ...
                ",https://phys.org/news/2022-06-feedback-efficiency-fusion-reactions.html
Physicists build an atom laser that can stay on forever,"
                    52 minutes ago
                ","
                    Lasers use coherent waves of light: All the light inside a laser vibrates completely in sync. Meanwhile, quantum mechanics tells us that particles like atoms should also be thought of as waves. As a result, we can build ""atom ...
                ",https://phys.org/news/2022-06-physicists-atom-laser.html
Physicists demonstrate polariton Bose-Einstein condensation using a planar waveguide,"
                    1 minute ago
                ","
                    A team of physicists from CNR-Nanotec in Lecce, Università di Pavia, Princeton University and Université de Lyon has demonstrated Bose-Einstein condensation using a planar waveguide where semiconductor quantum wells were ...
                ",https://phys.org/news/2022-06-physicists-polariton-bose-einstein-condensation-planar.html
Understanding room-temperature superconductivity,"
                    46 minutes ago
                ","
                    Room-temperature superconductors could transform everything from electrical grids to particleaccelerators to computers, but researchers are still trying to understand how these materials function on the atomic level.
                ",https://phys.org/news/2022-06-room-temperature-superconductivity.html
Can we time travel? A theoretical physicist provides some answers,"
                    41 minutes ago
                ","
                    Time travel makes regular appearances in popular culture, with innumerable time travel storylines in movies, television and literature. But it is a surprisingly old idea: one can argue that the Greek tragedy Oedipus Rex, ...
                ",https://phys.org/news/2022-06-theoretical-physicist.html
A model that can predict the exact quasi-particle properties of heavy Fermi polarons,"
                    1 hour ago
                ","
                    Physicists studying quantum many-body physics very rarely reach exact solutions or conclusions, particularly in more than one dimension. This is also true for the Fermi polaron problem, describing instances in which the many-body ...
                ",https://phys.org/news/2022-06-exact-quasi-particle-properties-heavy-fermi.html
Alignment of quantized levels in valleytronic materials,"
                    3 hours ago
                ","
                    National University of Singapore researchers have predicted that Landau levels belonging to different valleys in a two-dimensional (2D) valleytronic material, monolayer tungsten diselenide (WSe2), can be aligned at a critical ...
                ",https://phys.org/news/2022-06-alignment-quantized-valleytronic-materials.html
"New, highly tunable composite materials—with a twist","
                    6 hours ago
                ","
                    Watch for the patterns created as the circles move across each other. Those patterns, created by two sets of lines offset from each other, are called moiré (pronounced mwar-AY) effects. As optical illusions, moiré patterns ...
                ",https://phys.org/news/2022-06-highly-tunable-composite-materialswith.html
Collapsing a leading theory for the quantum origin of consciousness,"
                    23 hours ago
                ","
                    The origin of consciousness is one of the greatest mysteries of science. One proposed solution, first suggested by Nobel Laureate and Oxford mathematician Roger Penrose and anesthesiologist Stuart Hammeroff, at the University ...
                ",https://phys.org/news/2022-06-collapsing-theory-quantum-consciousness.html
Insight into the fast emergence of magnetization,"
                    Jun 13, 2022
                ","
                    The speed of magnetizing a material has been discovered by an international team of scientists.
                ",https://phys.org/news/2022-06-insight-fast-emergence-magnetization.html
"Information energy accounts for dark energy, resolves Hubble tension, avoids the 'big chill,' and is falsifiable","
                    Jun 13, 2022
                ","
                    Stellar heated gas and dust has an entropy, or information content, with an equivalent energy of 1070 joules, directly comparable to the mc2 equivalent energy of the universe baryon mass. In a study published in Entropy, ...
                ",https://phys.org/news/2022-06-energy-accounts-dark-hubble-tension.html
Helium pre-exposure inhibits hydrogen isotope permeation in wall materials,"
                    Jun 13, 2022
                ","
                    A research team from the Hefei Institutes of Physical Science (HFIPS) of the Chinese Academy of Sciences (CAS) has recently revealed that helium exposure could inhibit the penetration of hydrogen isotopes in wall materials. ...
                ",https://phys.org/news/2022-06-helium-pre-exposure-inhibits-hydrogen-isotope.html
Theory suggests quantum computers should be exponentially faster on some learning tasks than classical machines,"
                    Jun 10, 2022
                ","
                    A team of researchers affiliated with multiple institutions in the U.S., including Google Quantum AI, and a colleague in Australia, has developed a theory suggesting that quantum computers should be exponentially faster on ...
                ",https://phys.org/news/2022-06-theory-quantum-exponentially-faster-tasks.html
Magnetizing laser-driven inertial fusion implosions,"
                    Jun 10, 2022
                ","
                    Nuclear fusion is a widely studied process through which atomic nuclei of a low atomic number fuse together to form a heavier nucleus, while releasing a large amount of energy. Nuclear fusion reactions can be produced using ...
                ",https://phys.org/news/2022-06-magnetizing-laser-driven-inertial-fusion-implosions.html
Glimpses of quantum computing phase changes show researchers the tipping point,"
                    Jun 10, 2022
                ","
                    Researchers at Duke University and the University of Maryland have used the frequency of measurements on a quantum computer to get a glimpse into the quantum phenomena of phase changes—something analogous to water turning ...
                ",https://phys.org/news/2022-06-glimpses-quantum-phase.html
Researchers observe continuous time crystal,"
                    Jun 10, 2022
                ","
                    Researchers from the Institute of Laser Physics at Universität Hamburg have succeeded for the first time in realizing a time crystal that spontaneously breaks continuous time translation symmetry. They report their observation ...
                ",https://phys.org/news/2022-06-crystal.html
"Scientists observe large-scale, ordered and tunable Majorana-zero-mode lattice","
                    Jun 10, 2022
                ","
                    In a study published in Nature on June 8, a joint research team led by Prof. Gao Hongjun from the Institute of Physics of the Chinese Academy of Sciences (CAS) has reported observation of a large-scale, ordered and tunable ...
                ",https://phys.org/news/2022-06-scientists-large-scale-tunable-majorana-zero-mode-lattice.html
Determining which wavelengths of UV light work best for COVID-19 virus disinfection,"
                    Jun 10, 2022
                ","
                    To disinfect a surface, you can illuminate it with a blast of ultraviolet (UV) light, which is bluer than the human eye can see. But to specifically inactivate SARS-CoV-2, the virus that causes COVID-19, which wavelengths ...
                ",https://phys.org/news/2022-06-wavelengths-uv-covid-virus-disinfection.html
The formation of gap solitons in a 1D dissipative topological lattice,"
                    Jun 09, 2022
                ","
                    Topological photonics is a rapidly evolving area of research that focuses on the design of photonic lattices where the behavior of light is inspired from the physics of topological insulators. While most studies in this area ...
                ",https://phys.org/news/2022-06-formation-gap-solitons-1d-dissipative.html
"Researchers demonstrate 40-channel optical communication link, capable of transmitting 400 GB of data per second","
                    Jun 09, 2022
                ","
                    Researchers have demonstrated a silicon-based optical communication link that combines two multiplexing technologies to create 40 optical data channels that can simultaneously move data. The new chip-scale optical interconnect ...
                ",https://phys.org/news/2022-06-channel-optical-link-capable-transmitting.html
New feedback system can improve efficiency of fusion reactions,"
                    Jun 09, 2022
                ","
                    Scientists at the U.S. Department of Energy's (DOE) Princeton Plasma Physics Laboratory (PPPL) have refined the use of magnetic fields to improve the performance of doughnut-shaped fusion facilities known as tokamaks. The ...
                ",https://phys.org/news/2022-06-feedback-efficiency-fusion-reactions.html
How some high-energy particle 'jets' lose energy in the quark-gluon plasma,"
                    Jun 08, 2022
                ","
                    Scientists studying particle collisions at the Relativistic Heavy Ion Collider (RHIC) have revealed how certain particle-jets lose energy as they traverse the unique form of nuclear matter created in these collisions. The ...
                ",https://phys.org/news/2022-06-high-energy-particle-jets-energy-quark-gluon.html
Introducing the largest quantum photonic processor to date,"
                    Jun 08, 2022
                ","
                    Quantum computers promise to propel computing far beyond what today's computers are capable of, but this potential has yet to be realized. In their search for a way to demonstrate quantum supremacy, researchers working in ...
                ",https://phys.org/news/2022-06-largest-quantum-photonic-processor-date.html
Examining the odd locomotion of microswimmers,"
                    Jun 08, 2022
                ","
                    Being odd can be a good thing, particularly when you are a microscopic cellular organism trying to go places.
                ",https://phys.org/news/2022-06-odd-locomotion-microswimmers.html
You can hear every event twice in a three-dimensional quantum gas,"
                    Jun 07, 2022
                ","
                    If you could immerse yourself in a quantum fluid, you would hear every event twice, because they support two sound waves with different speeds.
                ",https://phys.org/news/2022-06-event-three-dimensional-quantum-gas.html
Researchers design new emulator that reveals the intricacies of light behavior in complex evolving systems,"
                    Jun 07, 2022
                ","
                    University of Central Florida researchers are part of a team that has revealed, for the first time, the intricacies of how light behaves in advanced dynamical optical systems with configurations known as non-Hermitian arrangements.
                ",https://phys.org/news/2022-06-emulator-reveals-intricacies-behavior-complex.html
Sizzling sound of deep-frying reveals complex physics,"
                    Jun 07, 2022
                ","
                    Experienced cooks can determine when cooking oil has reached the right temperature for deep-frying by inserting moistened chopsticks in the hot oil. Bubbles form on the sticks and the sizzling sound they produce can tell ...
                ",https://phys.org/news/2022-06-sizzling-deep-frying-reveals-complex-physics.html
World's first measurement of magnetic-field-dependent stimulated emission,"
                    Jun 07, 2022
                ","
                    In medical care, magnetic fields of heart and brain activity are measured to detect diseases at an early stage. To measure even the smallest magnetic fields, researchers at Fraunhofer IAF are working on a new approach: diamond-based ...
                ",https://phys.org/news/2022-06-world-magnetic-field-dependent-emission.html
Multilevel polarization switching in ferroelectric thin films,"
                    Jun 07, 2022
                ","
                    Ferroelectric materials have found widespread use in everyday technology mainly owing to their electric polarization that can be switched between two distinct states. Overcoming the binary limit of ferroelectrics in order ...
                ",https://phys.org/news/2022-06-multilevel-polarization-ferroelectric-thin.html
'Urban canyons' prolong sonic booms in cities,"
                    Jun 07, 2022
                ","
                    Twenty years after the retirement of the Concorde, several industrial and research projects want to make supersonic flight a reality again. However, supersonic planes produce sonic booms loud enough to warrant noise concerns ...
                ",https://phys.org/news/2022-06-urban-canyons-prolong-sonic-booms.html
Investigating electrons with a traditional scanning microscope,"
                    Jun 07, 2022
                ","
                    Physicists at Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU) have designed a framework that allows scientists to observe interactions between light and electrons using a traditional scanning electron microscope. ...
                ",https://phys.org/news/2022-06-electrons-traditional-scanning-microscope.html
Physicists build an atom laser that can stay on forever,"
                    52 minutes ago
                ","
                    Lasers use coherent waves of light: All the light inside a laser vibrates completely in sync. Meanwhile, quantum mechanics tells us that particles like atoms should also be thought of as waves. As a result, we can build ""atom ...
                ",https://phys.org/news/2022-06-physicists-atom-laser.html
Physicists demonstrate polariton Bose-Einstein condensation using a planar waveguide,"
                    1 minute ago
                ","
                    A team of physicists from CNR-Nanotec in Lecce, Università di Pavia, Princeton University and Université de Lyon has demonstrated Bose-Einstein condensation using a planar waveguide where semiconductor quantum wells were ...
                ",https://phys.org/news/2022-06-physicists-polariton-bose-einstein-condensation-planar.html
Understanding room-temperature superconductivity,"
                    46 minutes ago
                ","
                    Room-temperature superconductors could transform everything from electrical grids to particleaccelerators to computers, but researchers are still trying to understand how these materials function on the atomic level.
                ",https://phys.org/news/2022-06-room-temperature-superconductivity.html
Can we time travel? A theoretical physicist provides some answers,"
                    41 minutes ago
                ","
                    Time travel makes regular appearances in popular culture, with innumerable time travel storylines in movies, television and literature. But it is a surprisingly old idea: one can argue that the Greek tragedy Oedipus Rex, ...
                ",https://phys.org/news/2022-06-theoretical-physicist.html
A model that can predict the exact quasi-particle properties of heavy Fermi polarons,"
                    1 hour ago
                ","
                    Physicists studying quantum many-body physics very rarely reach exact solutions or conclusions, particularly in more than one dimension. This is also true for the Fermi polaron problem, describing instances in which the many-body ...
                ",https://phys.org/news/2022-06-exact-quasi-particle-properties-heavy-fermi.html
Alignment of quantized levels in valleytronic materials,"
                    3 hours ago
                ","
                    National University of Singapore researchers have predicted that Landau levels belonging to different valleys in a two-dimensional (2D) valleytronic material, monolayer tungsten diselenide (WSe2), can be aligned at a critical ...
                ",https://phys.org/news/2022-06-alignment-quantized-valleytronic-materials.html
