product,rating,rating count,price,product url
Helly-Hansen 65551 Men's Alpha 3.0 Jacket  ,4.8 out of 5 stars,6  ,380.0,https://amazon.com/Helly-Hansen-Alpha-Insulated-Jacket-Trooper/dp/B096MZGLZ9/ref=sr_1_omk_2?keywords=winter+jacket&qid=1655213905&sr=8-2
Columbia Men's Powder Lite Winter Jacket  ,4.8 out of 5 stars,"2,399  ",99.99,https://amazon.com/Columbia-Powder-Jacket-Collegiate-Medium/dp/B07JCC7P1L/ref=sr_1_9?keywords=winter+jacket&qid=1655213905&sr=8-9
Columbia Women's Switchback Lined Long Jacket  ,4.6 out of 5 stars,"5,048  ",87.53,https://amazon.com/Columbia-Womens-Switchback-Jacket-X-Large/dp/B072JHK78R/ref=sr_1_22?keywords=winter+jacket&qid=1655213905&sr=8-22
DRI Duck Men's Cheyenne Jacket  ,4.7 out of 5 stars,"3,361  ",89.99,https://amazon.com/DRI-Duck-Cheyenne-Jacket-Field/dp/B003UD8JYS/ref=sr_1_24?keywords=winter+jacket&qid=1655213905&sr=8-24
Calvin Klein Men's Hooded Rip Stop Water and Wind Resistant Jacket with Fleece Bib  ,4.6 out of 5 stars,326  ,155.04,https://amazon.com/Calvin-Klein-Hooded-Resistant-Jacket/dp/B08ZNWLSBF/ref=sr_1_25?keywords=winter+jacket&qid=1655213905&sr=8-25
"Columbia Men's Delta Ridge Down Jacket, Black, Large  ",4.7 out of 5 stars,224  ,165.91,https://amazon.com/Columbia-Delta-Ridge-Jacket-Black/dp/B07JCC149R/ref=sr_1_53?keywords=winter+jacket&qid=1655213909&sr=8-53
The North Face Men's Gotham Insulated Jacket III  ,5.0 out of 5 stars,8  ,194.97,https://amazon.com/North-Face-Gotham-Jacket-Arrowwood/dp/B097NGZB69/ref=sr_1_54?keywords=winter+jacket&qid=1655213909&sr=8-54
Helly-Hansen Mens Salt Coastal Jacket Waterproof Windproof Breathable Sailing Jacket  ,4.4 out of 5 stars,15  ,300.0,https://amazon.com/Helly-Hansen-Waterproof-Windproof-Breathable-XX-Large/dp/B08M9STBQ2/ref=sr_1_64?keywords=winter+jacket&qid=1655213909&sr=8-64
Pioneer Camp Men's Winter Coats Water-Repellent Windproof Thicken Parkas Long Hooded Padded Puffer Jacket  ,4.5 out of 5 stars,512  ,139.99,https://amazon.com/Pioneer-Camp-Water-Repellent-Windproof-Thicken/dp/B07YP64YTS/ref=sr_1_73?keywords=winter+jacket&qid=1655213909&sr=8-73
Burton Prowess Snowboard Jacket Womens  ,4.7 out of 5 stars,318  ,218.99,https://amazon.com/Burton-Womens-Prowess-Jacket-Black/dp/B07KY6STWP/ref=sr_1_77?keywords=winter+jacket&qid=1655213909&sr=8-77
Columbia Men's Pike Lake Jacket  ,4.6 out of 5 stars,"1,060  ",119.99,https://amazon.com/Columbia-Mens-Jacket-Black-Medium/dp/B01N0EZK61/ref=sr_1_99?keywords=winter+jacket&qid=1655213912&sr=8-99
Volcom Women's Fawn Insulated Snowboard Ski Winter Hooded Jacket  ,4.4 out of 5 stars,92  ,131.99,https://amazon.com/Volcom-Womens-Insulated-Jacket-Medium/dp/B07MTRVB7N/ref=sr_1_102?keywords=winter+jacket&qid=1655213912&sr=8-102
"Under Armour Boys' Westward 3-in-1 Jacket, Removable Hood & Liner, Windproof & Water Repellant  ",4.7 out of 5 stars,114  ,75.0,https://amazon.com/Under-Armour-Removable-Windproof-Repellant/dp/B09DWV3RV6/ref=sr_1_106?keywords=winter+jacket&qid=1655213912&sr=8-106
PUMA Men's Bench Jacket  ,4.4 out of 5 stars,33  ,94.99,https://amazon.com/PUMA-Bench-Jacket-Black-White/dp/B091DFD92K/ref=sr_1_123?keywords=winter+jacket&qid=1655213912&sr=8-123
Reebok Puffer Coat for Women-Warm Winter Jacket with Sherpa Lined Hood  ,4.2 out of 5 stars,27  ,74.99,https://amazon.com/Reebok-Womens-Puffer-Sherpa-Winter/dp/B09G83N2BL/ref=sr_1_132?keywords=winter+jacket&qid=1655213912&sr=8-132
Carhartt Baby Boys' Active Quilted Flannel Lined Jacket  ,4.8 out of 5 stars,"7,294  ",69.99,https://amazon.com/Carhartt-Little-Active-Jacket-XX-Small-4/dp/B0086F0JXY/ref=sr_1_155?keywords=winter+jacket&qid=1655213915&sr=8-155
Under Armour Men's Insulate Jacket  ,4.2 out of 5 stars,4  ,110.0,https://amazon.com/Under-Armour-Insulate-Jacket-Pitch/dp/B08LNWLVMX/ref=sr_1_156?keywords=winter+jacket&qid=1655213915&sr=8-156
Disney Girl's Minnie Mouse Print Hooded Puffer Jacket with Ears and Bow  ,4.7 out of 5 stars,"1,515  ",39.99,https://amazon.com/Disney-Minnie-Hooded-Puffer-Jacket/dp/B08C2J2RP5/ref=sr_1_173?keywords=winter+jacket&qid=1655213915&sr=8-173
Levi's Men's Corduroy Sherpa Trucker Jacket  ,4.7 out of 5 stars,"2,327  ",89.99,https://amazon.com/Levis-Corduroy-Sherpa-Trucker-Jacket/dp/B07FK7GGQL/ref=sr_1_174?keywords=winter+jacket&qid=1655213915&sr=8-174
The North Face Men's Gordon Lyons Quarter Zip Pullover  ,4.4 out of 5 stars,4  ,53.35,https://amazon.com/North-Face-Classic-Aviator-Heather/dp/B097NJ71S3/ref=sr_1_188?keywords=winter+jacket&qid=1655213915&sr=8-188
The North Face Men's Gordon Lyons Quarter Zip Pullover  ,4.4 out of 5 stars,4  ,53.35,https://amazon.com/North-Face-Classic-Aviator-Heather/dp/B097NJ71S3/ref=sr_1_196?keywords=winter+jacket&qid=1655213918&sr=8-196
Helly-Hansen Mens Garibaldi Infinity Waterproof Insulated Ski Jacket  ,4.7 out of 5 stars,7  ,300.0,https://amazon.com/Helly-Hansen-Garibaldi-Infinity-Waterproof-Insulated/dp/B096MYNK52/ref=sr_1_206?keywords=winter+jacket&qid=1655213918&sr=8-206
The North Face Men's Fort Point Insulated Flannel Ski Jacket  ,4.4 out of 5 stars,3  ,71.37,https://amazon.com/North-Face-Insulated-Flannel-Roxbury/dp/B097NJT46J/ref=sr_1_211?keywords=winter+jacket&qid=1655213918&sr=8-211
LONDON FOG Baby Boys' Color Blocked Puffer Jacket Coat with Hat  ,4.7 out of 5 stars,16  ,24.99,https://amazon.com/LONDON-FOG-Blocked-Puffer-Jacket/dp/B095XP9PS7/ref=sr_1_215?keywords=winter+jacket&qid=1655213918&sr=8-215
MARMOT Women's Strollbridge Jacket  ,4.7 out of 5 stars,100  ,229.95,https://amazon.com/Marmot-Womens-Strollbridge-Jacket-Medium/dp/B01N0GWP2G/ref=sr_1_241?keywords=winter+jacket&qid=1655213922&sr=8-241
Carhartt Girls' Redwood Jacket Sherpa Lined  ,4.8 out of 5 stars,"2,873  ",57.99,https://amazon.com/Carhartt-Girls-Redwood-Jacket-Medium/dp/B00CFHAD8A/ref=sr_1_259?keywords=winter+jacket&qid=1655213922&sr=8-259
